"Año","Mes","Empresa","Circuito","Tipo Indicador","DPIR","FPI","FMIK","TTIK","FIM","FIP","FIT","DAI","FI","Abonados Por Circuito"
"2022","Diciembre ","JASEC","COCORI","1","0.2270176935374777","0.08439402324294411","","","2","","","","2","3614"
"2022","Diciembre ","JASEC","CERRILLOS","3","0.5078520086178954","0.11451123948979008","","","1","","","","1","17483"
"2022","Diciembre ","JASEC","CERRILLOS","2","0.7661015621524402","0.19910770462735228","","","1","","","","1","17483"
"2022","Diciembre ","JASEC","CERRILLOS","1","0.7661015621524402","0.19910770462735228","","","1","","","","1","17483"
"2022","Diciembre ","JASEC","CARTAGO","3","1.4010104581886762","1.626076893403626","","","","","","","","7777"
"2022","Diciembre ","JASEC","CARTAGO","2","1.6499541739888275","1.9184775620419185","","","","","","","","7777"
"2022","Diciembre ","JASEC","CARTAGO","1","1.6499541739888275","1.9184775620419185","","","","","","","","7777"
"2022","Diciembre ","ICE","JACO HERRADURA","3","0.56","2.3600000000000003","","","","1","","0.1","1","3209"
"2022","Diciembre ","ICE","JACO HERRADURA","2","4.77","6.259999999999999","","","","4","","0.4","4","3209"
"2022","Diciembre ","ICE","JACO HERRADURA","1","4.9","7.259999999999999","","","","5","","0.53","5","3209"
"2022","Diciembre ","ICE","JACO ESTERO ","3","0.1","1.02","","","","","","","","2784"
"2022","Diciembre ","ICE","JACO ESTERO ","2","0.95","2.61","","","","2","","0.2","2","2784"
"2022","Diciembre ","ICE","JACO ESTERO ","1","1.11","3.61","","","","3","","0.35","3","2784"
"2022","Diciembre ","ICE","JACO NEXUS","3","0.2","1.04","","","","1","","0.1","1","3537"
"2022","Diciembre ","ICE","JACO NEXUS","2","6.4300000000000015","3.6999999999999997","","","","2","","0.18","2","3537"
"2022","Diciembre ","ICE","JACO NEXUS","1","6.630000000000001","4.699999999999999","","","","3","","0.38","3","3537"
"2022","Diciembre ","ICE","TRAPICHE - REVENTAZON","3","0.41","0.5","","","","","","","","4396"
"2022","Diciembre ","ICE","TRAPICHE - REVENTAZON","2","11.27","1.9000000000000001","","","","","","","","4396"
"2022","Diciembre ","ICE","TRAPICHE - REVENTAZON","1","11.27","1.9000000000000001","","","","","","","","4396"
"2022","Diciembre ","ICE","SANTA RITA-RESPALDO NOSARA","3","2.17","2.19","","","","","1","","1","5955"
"2022","Diciembre ","ICE","SANTA RITA-RESPALDO NOSARA","2","5.890000000000001","4.449999999999999","","","","","1","","1","5955"
"2022","Diciembre ","ICE","SANTA RITA-RESPALDO NOSARA","1","6.010000000000001","5.449999999999999","","","1","1","1","0.12","3","5955"
"2022","Diciembre ","ICE","POAS-PANDUIT","3","0.66","0.5","","","","","","","","2"
"2022","Diciembre ","ICE","POAS-PANDUIT","2","0.66","0.5","","","","","","","","2"
"2022","Diciembre ","ICE","POAS-PANDUIT","1","1.72","1","","","","","","","","2"
"2022","Diciembre ","ICE","POAS-LOS LLANOS","3","","","","","","","","","","2"
"2022","Diciembre ","ICE","POAS-LOS LLANOS","2","0.32","0.5","","","","","","","","2"
"2022","Diciembre ","ICE","POAS-LOS LLANOS","1","2.54","1.5","","","1","1","","2.22","2","2"
"2022","Diciembre ","ICE","POAS-MESON","3","0.65","0.64","","","","","","","","27039"
"2022","Diciembre ","ICE","POAS-MESON","2","1.7599999999999998","1.3199999999999998","","","","","","","","27039"
"2022","Diciembre ","ICE","POAS-MESON","1","3.88","2.32","","","","1","","2.12","1","27039"
"2022","Diciembre ","ICE","POAS-COYOL 2","3","","","","","","","","","","3"
"2022","Diciembre ","ICE","POAS-COYOL 2","2","0.73","0.67","","","","","","","","3"
"2022","Diciembre ","ICE","POAS-COYOL 2","1","1.08","1.34","","","","","","","","3"
"2022","Diciembre ","ICE","JACO HERMOSA","1","2.43","4.159999999999999","","","","3","","0.47","3","1061"
"2022","Diciembre ","ICE","JACO HERMOSA","2","2.21","3.16","","","","2","","0.25","2","1061"
"2022","Diciembre ","ICE","JACO HERMOSA","3","0.12","1.03","","","","1","","0.1","1","1061"
"2022","Diciembre ","ICE","JACO ESTERILLOS","1","16.830000000000002","5.760000000000001","","","","3","","1.3699999999999999","3","198"
"2022","Diciembre ","ICE","SAN ISIDRO-BUENOS AIRES NUEVO","3","3.4899999999999998","2.88","","","","","","","","13215"
"2022","Diciembre ","ICE","SAN ISIDRO-BUENOS AIRES NUEVO","2","6.24","5.16","","","","1","","0.3","1","13215"
"2022","Diciembre ","JASEC","GRUPO Z","2","0.1912696170747018","0.03954802259887006","","","","","1","","1","1239"
"2022","Diciembre ","ICE","SAN ISIDRO-BUENOS AIRES NUEVO","1","6.24","5.16","","","","1","","0.3","1","13215"
"2022","Diciembre ","ICE","MOIN – APM_TERMINALS","2","0.63","0.46","","","","","","","","153"
"2022","Diciembre ","ICE","MOIN – APM_TERMINALS","1","0.63","0.46","","","3","","","","3","153"
"2022","Diciembre ","ICE","PAILAS – HOSPITAL","3","22.330000000000002","10.49","","","","4","","2.1799999999999997","4","6"
"2022","Diciembre ","ICE","PAILAS – HOSPITAL","2","51.480000000000004","21.84","","","","6","","4.66","6","6"
"2022","Diciembre ","ICE","PAILAS – HOSPITAL","1","51.480000000000004","21.84","","","","6","","4.66","6","6"
"2022","Diciembre ","ICE","SANTA RITA-ISLA VENADO","3","2.71","1","","","","","","","","365"
"2022","Diciembre ","ICE","SANTA RITA-ISLA VENADO","2","7.979999999999999","6","","","","","","","","365"
"2022","Diciembre ","ICE","SANTA RITA-ISLA VENADO","1","7.979999999999999","6","","","","","","","","365"
